0,1,2,3,4
filt,norm-laplacian,0.0001,0.05,0.6095566502463055
filt,norm-laplacian,0.0001,0.1,0.6096748768472906
filt,norm-laplacian,0.0001,0.15,0.5855369458128079
filt,norm-laplacian,0.0001,0.2,0.6096748768472906
filt,norm-laplacian,0.0001,0.25,0.5947717569786535
filt,norm-laplacian,0.0001,0.3,0.6050509031198686
filt,norm-laplacian,0.0001,0.35,0.5958357963875205
filt,norm-laplacian,0.0001,0.4,0.5901806239737274
filt,norm-laplacian,0.0001,0.45,0.5787060755336617
filt,norm-laplacian,0.0001,0.5,0.5775238095238096
filt,norm-laplacian,0.0001,0.0,0.622272577996716
filt,norm-laplacian,0.0005,0.05,0.6210509031198688
filt,norm-laplacian,0.0005,0.1,0.6038620689655173
filt,norm-laplacian,0.0005,0.15,0.6004663382594416
filt,norm-laplacian,0.0005,0.2,0.6130049261083744
filt,norm-laplacian,0.0005,0.25,0.6177077175697866
filt,norm-laplacian,0.0005,0.3,0.6176814449917899
filt,norm-laplacian,0.0005,0.35,0.606200328407225
filt,norm-laplacian,0.0005,0.4,0.5855435139573071
filt,norm-laplacian,0.0005,0.45,0.6049786535303776
filt,norm-laplacian,0.0005,0.5,0.5843481116584565
filt,norm-laplacian,0.0005,0.0,0.6142331691297208
filt,norm-laplacian,0.001,0.05,0.6096420361247947
filt,norm-laplacian,0.001,0.1,0.5993563218390805
filt,norm-laplacian,0.001,0.15,0.6118752052545157
filt,norm-laplacian,0.001,0.2,0.6153957307060756
filt,norm-laplacian,0.001,0.25,0.6038817733990147
filt,norm-laplacian,0.001,0.3,0.636072249589491
filt,norm-laplacian,0.001,0.35,0.5970246305418719
filt,norm-laplacian,0.001,0.4,0.5935697865353039
filt,norm-laplacian,0.001,0.45,0.5740492610837438
filt,norm-laplacian,0.001,0.5,0.573977011494253
filt,norm-laplacian,0.001,0.0,0.6268308702791462
filt,norm-laplacian,0.005,0.05,0.6142200328407226
filt,norm-laplacian,0.005,0.1,0.6050771756978653
filt,norm-laplacian,0.005,0.15,0.603888341543514
filt,norm-laplacian,0.005,0.2,0.6085648604269294
filt,norm-laplacian,0.005,0.25,0.6084532019704434
filt,norm-laplacian,0.005,0.3,0.6268768472906403
filt,norm-laplacian,0.005,0.35,0.5889720853858786
filt,norm-laplacian,0.005,0.4,0.6176617405582924
filt,norm-laplacian,0.005,0.45,0.6004926108374384
filt,norm-laplacian,0.005,0.5,0.5752052545155993
filt,norm-laplacian,0.005,0.0,0.618791461412151
filt,norm-laplacian,0.01,0.05,0.6073891625615764
filt,norm-laplacian,0.01,0.1,0.5982331691297208
filt,norm-laplacian,0.01,0.15,0.6062331691297208
filt,norm-laplacian,0.01,0.2,0.6003940886699508
filt,norm-laplacian,0.01,0.25,0.5912052545155994
filt,norm-laplacian,0.01,0.3,0.579816091954023
filt,norm-laplacian,0.01,0.35,0.588919540229885
filt,norm-laplacian,0.01,0.4,0.5993891625615764
filt,norm-laplacian,0.01,0.45,0.5798423645320196
filt,norm-laplacian,0.01,0.5,0.5729655172413793
filt,norm-laplacian,0.01,0.0,0.6096091954022989
filt,norm-laplacian,0.05,0.05,0.5958095238095238
filt,norm-laplacian,0.05,0.1,0.5981806239737274
filt,norm-laplacian,0.05,0.15,0.5958686371100164
filt,norm-laplacian,0.05,0.2,0.5751921182266011
filt,norm-laplacian,0.05,0.25,0.5867060755336617
filt,norm-laplacian,0.05,0.3,0.5866995073891625
filt,norm-laplacian,0.05,0.35,0.5694778325123153
