0,1,2,3,4
filt,norm-laplacian,0.0001,0.05,0.6073234811165846
filt,norm-laplacian,0.0001,0.1,0.6096223316912972
filt,norm-laplacian,0.0001,0.15,0.6107717569786535
filt,norm-laplacian,0.0001,0.2,0.5717504105090312
filt,norm-laplacian,0.0001,0.25,0.6279671592775041
filt,norm-laplacian,0.0001,0.3,0.6360262725779967
filt,norm-laplacian,0.0001,0.35,0.6199671592775041
filt,norm-laplacian,0.0001,0.4,0.6016026272577997
filt,norm-laplacian,0.0001,0.45,0.5981937602627257
filt,norm-laplacian,0.0001,0.5,0.578679802955665
filt,norm-laplacian,0.0001,0.0,0.6107192118226601
filt,norm-laplacian,0.0005,0.05,0.6119605911330049
filt,norm-laplacian,0.0005,0.1,0.6095960591133005
filt,norm-laplacian,0.0005,0.15,0.6004466338259442
filt,norm-laplacian,0.0005,0.2,0.6119671592775042
filt,norm-laplacian,0.0005,0.25,0.6200197044334975
filt,norm-laplacian,0.0005,0.3,0.6188308702791462
filt,norm-laplacian,0.0005,0.35,0.5843743842364532
filt,norm-laplacian,0.0005,0.4,0.6073234811165846
filt,norm-laplacian,0.0005,0.45,0.5832446633825945
filt,norm-laplacian,0.0005,0.5,0.5774909688013137
filt,norm-laplacian,0.0005,0.0,0.6187717569786535
filt,norm-laplacian,0.001,0.05,0.5855303776683087
filt,norm-laplacian,0.001,0.1,0.6119605911330049
filt,norm-laplacian,0.001,0.15,0.6016683087027914
filt,norm-laplacian,0.001,0.2,0.6199540229885059
filt,norm-laplacian,0.001,0.25,0.6303316912972086
filt,norm-laplacian,0.001,0.3,0.6153628899835797
filt,norm-laplacian,0.001,0.35,0.6062068965517241
filt,norm-laplacian,0.001,0.4,0.5981215106732348
filt,norm-laplacian,0.001,0.45,0.5809786535303778
filt,norm-laplacian,0.001,0.5,0.5763678160919541
filt,norm-laplacian,0.001,0.0,0.6176814449917899
filt,norm-laplacian,0.005,0.05,0.5878029556650246
filt,norm-laplacian,0.005,0.1,0.5843481116584565
filt,norm-laplacian,0.005,0.15,0.5970509031198686
filt,norm-laplacian,0.005,0.2,0.6050246305418719
filt,norm-laplacian,0.005,0.25,0.6142397372742201
filt,norm-laplacian,0.005,0.3,0.6004729064039409
filt,norm-laplacian,0.005,0.35,0.593615763546798
filt,norm-laplacian,0.005,0.4,0.6107717569786535
filt,norm-laplacian,0.005,0.45,0.5751527093596059
filt,norm-laplacian,0.005,0.5,0.5935566502463054
filt,norm-laplacian,0.005,0.0,0.6302068965517241
filt,norm-laplacian,0.01,0.05,0.6188768472906405
filt,norm-laplacian,0.01,0.1,0.6015566502463054
filt,norm-laplacian,0.01,0.15,0.6038817733990147
filt,norm-laplacian,0.01,0.2,0.6050377668308703
filt,norm-laplacian,0.01,0.25,0.6176814449917898
filt,norm-laplacian,0.01,0.3,0.617688013136289
filt,norm-laplacian,0.01,0.35,0.6061674876847291
filt,norm-laplacian,0.01,0.4,0.5718357963875207
filt,norm-laplacian,0.01,0.45,0.5729326765188836
filt,norm-laplacian,0.01,0.5,0.5683284072249589
filt,norm-laplacian,0.01,0.0,0.6176748768472906
filt,norm-laplacian,0.05,0.05,0.575159277504105
filt,norm-laplacian,0.05,0.1,0.5878489326765189
filt,norm-laplacian,0.05,0.15,0.5957963875205254
filt,norm-laplacian,0.05,0.2,0.5877569786535304
filt,norm-laplacian,0.05,0.25,0.5924597701149426
filt,norm-laplacian,0.05,0.3,0.5959014778325123
filt,norm-laplacian,0.05,0.35,0.5729261083743842
filt,norm-laplacian,0.05,0.4,0.5947323481116584
filt,norm-laplacian,0.05,0.45,0.574055829228243
filt,norm-laplacian,0.05,0.5,0.5660623973727421
filt,norm-laplacian,0.05,0.0,0.5946666666666667
filt,norm-laplacian,0.15,0.05,0.5453464696223318
filt,norm-laplacian,0.15,0.1,0.5441904761904762
filt,norm-laplacian,0.15,0.15,0.5591395730706076
filt,norm-laplacian,0.15,0.2,0.5373136288998358
filt,norm-laplacian,0.15,0.25,0.5212348111658456
filt,norm-laplacian,0.15,0.3,0.5212610837438424
filt,norm-laplacian,0.15,0.35,0.5189425287356322
filt,norm-laplacian,0.15,0.4,0.5350147783251231
filt,norm-laplacian,0.15,0.45,0.5465287356321838
filt,norm-laplacian,0.15,0.5,0.555704433497537
filt,norm-laplacian,0.15,0.0,0.5499178981937602
filt,norm-laplacian,0.1,0.05,0.560288998357964
filt,norm-laplacian,0.1,0.1,0.563743842364532
filt,norm-laplacian,0.1,0.15,0.5625418719211822
filt,norm-laplacian,0.1,0.2,0.5660229885057472
filt,norm-laplacian,0.1,0.25,0.5683940886699508
filt,norm-laplacian,0.1,0.3,0.5591330049261083
filt,norm-laplacian,0.1,0.35,0.5327093596059114
filt,norm-laplacian,0.1,0.4,0.5269753694581281
filt,norm-laplacian,0.1,0.45,0.5418784893267652
filt,norm-laplacian,0.1,0.5,0.5246765188834154
filt,norm-laplacian,0.1,0.0,0.568295566502463
filt,norm-laplacian,0.25,0.05,0.5430673234811166
filt,norm-laplacian,0.25,0.1,0.5408275862068965
filt,norm-laplacian,0.25,0.15,0.5326830870279146
filt,norm-laplacian,0.25,0.2,0.5602824302134647
filt,norm-laplacian,0.25,0.25,0.5235796387520526
filt,norm-laplacian,0.25,0.3,0.5396190476190477
filt,norm-laplacian,0.25,0.35,0.5488275862068965
filt,norm-laplacian,0.25,0.4,0.5488210180623974
filt,norm-laplacian,0.25,0.45,0.548735632183908
filt,norm-laplacian,0.25,0.5,0.5361773399014779
filt,norm-laplacian,0.25,0.0,0.5499704433497536
filt,norm-laplacian,0.2,0.05,0.5235008210180624
filt,norm-laplacian,0.2,0.1,0.538495894909688
filt,norm-laplacian,0.2,0.15,0.5384564860426929
filt,norm-laplacian,0.2,0.2,0.537326765188834
filt,norm-laplacian,0.2,0.25,0.5292545155993432
filt,norm-laplacian,0.2,0.3,0.5418850574712643
filt,norm-laplacian,0.2,0.35,0.5270147783251231
filt,norm-laplacian,0.2,0.4,0.5465155993431856
filt,norm-laplacian,0.2,0.45,0.5499244663382594
filt,norm-laplacian,0.2,0.5,0.5591133004926109
filt,norm-laplacian,0.2,0.0,0.5671198686371101
