0,1,2,3,4
filt,rspect,0.0001,0.05,0.6015500821018064
filt,rspect,0.0001,0.1,0.6268308702791461
filt,rspect,0.0001,0.15,0.6131297208538588
filt,rspect,0.0001,0.2,0.6027586206896551
filt,rspect,0.0001,0.25,0.6004203612479475
filt,rspect,0.0001,0.3,0.6165582922824302
filt,rspect,0.0001,0.35,0.5717241379310345
filt,rspect,0.0001,0.4,0.557944170771757
filt,rspect,0.0001,0.45,0.5693990147783251
filt,rspect,0.0001,0.5,0.5602627257799672
filt,rspect,0.0001,0.0,0.6074022988505747
filt,rspect,0.0005,0.05,0.5923809523809525
filt,rspect,0.0005,0.1,0.6073234811165846
filt,rspect,0.0005,0.15,0.6131494252873563
filt,rspect,0.0005,0.2,0.6199934318555009
filt,rspect,0.0005,0.25,0.6060821018062397
filt,rspect,0.0005,0.3,0.6142725779967158
filt,rspect,0.0005,0.35,0.608512315270936
filt,rspect,0.0005,0.4,0.5728866995073891
filt,rspect,0.0005,0.45,0.593576354679803
filt,rspect,0.0005,0.5,0.5821346469622333
filt,rspect,0.0005,0.0,0.6234285714285714
filt,rspect,0.001,0.05,0.6074022988505747
filt,rspect,0.001,0.1,0.5970180623973728
filt,rspect,0.001,0.15,0.6165254515599343
filt,rspect,0.001,0.2,0.626896551724138
filt,rspect,0.001,0.25,0.6004203612479475
filt,rspect,0.001,0.3,0.5924072249589492
filt,rspect,0.001,0.35,0.5843875205254515
filt,rspect,0.001,0.4,0.5751658456486044
filt,rspect,0.001,0.45,0.5820229885057471
filt,rspect,0.001,0.5,0.5810114942528737
filt,rspect,0.001,0.0,0.6279868637110017
filt,rspect,0.005,0.05,0.6004663382594416
filt,rspect,0.005,0.1,0.605064039408867
filt,rspect,0.005,0.15,0.6223054187192119
filt,rspect,0.005,0.2,0.6107651888341543
filt,rspect,0.005,0.25,0.5969786535303776
filt,rspect,0.005,0.3,0.583231527093596
filt,rspect,0.005,0.35,0.6073825944170772
filt,rspect,0.005,0.4,0.5867389162561577
filt,rspect,0.005,0.45,0.5901280788177339
filt,rspect,0.005,0.5,0.5775500821018063
filt,rspect,0.005,0.0,0.6027389162561576
filt,rspect,0.01,0.05,0.6050771756978655
filt,rspect,0.01,0.1,0.5890049261083743
filt,rspect,0.01,0.15,0.5820623973727421
filt,rspect,0.01,0.2,0.5970509031198686
filt,rspect,0.01,0.25,0.5934844006568144
filt,rspect,0.01,0.3,0.6050443349753695
filt,rspect,0.01,0.35,0.5843678160919541
filt,rspect,0.01,0.4,0.5751330049261083
filt,rspect,0.01,0.45,0.5717963875205255
filt,rspect,0.01,0.5,0.5878817733990147
filt,rspect,0.01,0.0,0.5878226600985221
filt,rspect,0.05,0.05,0.5671461412151068
filt,rspect,0.05,0.1,0.5889261083743842
filt,rspect,0.05,0.15,0.5913169129720853
filt,rspect,0.05,0.2,0.5705812807881774
filt,rspect,0.05,0.25,0.5844663382594417
filt,rspect,0.05,0.3,0.5924006568144499
filt,rspect,0.05,0.35,0.5832446633825944
filt,rspect,0.05,0.4,0.5511001642036125
filt,rspect,0.05,0.45,0.5740952380952381
filt,rspect,0.05,0.5,0.5625418719211822
filt,rspect,0.05,0.0,0.595855500821018
filt,rspect,0.15,0.05,0.5717569786535304
filt,rspect,0.15,0.1,0.5855435139573071
filt,rspect,0.15,0.15,0.55559934318555
filt,rspect,0.15,0.2,0.5636584564860427
filt,rspect,0.15,0.25,0.5315467980295566
filt,rspect,0.15,0.3,0.5786600985221674
filt,rspect,0.15,0.35,0.5683481116584564
filt,rspect,0.15,0.4,0.5603152709359607
filt,rspect,0.15,0.45,0.5591724137931035
filt,rspect,0.15,0.5,0.566088669950739
filt,rspect,0.15,0.0,0.5705944170771756
filt,rspect,0.1,0.05,0.5637569786535305
filt,rspect,0.1,0.1,0.553392446633826
filt,rspect,0.1,0.15,0.5694712643678161
filt,rspect,0.1,0.2,0.560256157635468
filt,rspect,0.1,0.25,0.5820361247947454
filt,rspect,0.1,0.3,0.5568341543513957
filt,rspect,0.1,0.35,0.5832577996715929
filt,rspect,0.1,0.4,0.5614844006568145
filt,rspect,0.1,0.45,0.5464893267651888
filt,rspect,0.1,0.5,0.5315730706075533
filt,rspect,0.1,0.0,0.5683021346469623
filt,rspect,0.25,0.05,0.5498916256157635
filt,rspect,0.25,0.1,0.557983579638752
filt,rspect,0.25,0.15,0.5740689655172415
filt,rspect,0.25,0.2,0.5602692939244662
filt,rspect,0.25,0.25,0.556840722495895
filt,rspect,0.25,0.3,0.583231527093596
filt,rspect,0.25,0.35,0.549944170771757
filt,rspect,0.25,0.4,0.5487816091954023
filt,rspect,0.25,0.45,0.5407816091954023
filt,rspect,0.25,0.5,0.5637241379310345
filt,rspect,0.25,0.0,0.5522430213464696
filt,rspect,0.2,0.05,0.5648538587848932
filt,rspect,0.2,0.1,0.5545155993431855
filt,rspect,0.2,0.15,0.5636912972085385
filt,rspect,0.2,0.2,0.5499113300492612
filt,rspect,0.2,0.25,0.575192118226601
filt,rspect,0.2,0.3,0.5947389162561576
filt,rspect,0.2,0.35,0.5660492610837438
filt,rspect,0.2,0.4,0.5602233169129722
filt,rspect,0.2,0.45,0.5442364532019704
filt,rspect,0.2,0.5,0.5557372742200328
filt,rspect,0.2,0.0,0.5774975369458129
